File Path,Line Number,Type,Pattern,Severity,Match,Message,Code
resources\js\Pages\Error.tsx,69,tailwind-class,background,warning,bg-orange-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"bgColor: 'bg-orange-50',"
resources\js\Pages\Error.tsx,70,css-property,color,critical, borderColor: 'border-orange-200',CSS color property uses hard-coded color instead of glass theme,"borderColor: 'border-orange-200',"
resources\js\Pages\Error.tsx,70,tailwind-class,border,warning,border-orange-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"borderColor: 'border-orange-200',"
resources\js\Pages\Error.tsx,77,css-property,color,critical, color: 'text-red-600',CSS color property uses hard-coded color instead of glass theme,"color: 'text-red-600',"
resources\js\Pages\Error.tsx,77,tailwind-class,text,warning,text-red-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"color: 'text-red-600',"
resources\js\Pages\Error.tsx,78,tailwind-class,background,warning,bg-red-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"bgColor: 'bg-red-50',"
resources\js\Pages\Error.tsx,79,css-property,color,critical, borderColor: 'border-red-200',CSS color property uses hard-coded color instead of glass theme,"borderColor: 'border-red-200',"
resources\js\Pages\Error.tsx,79,tailwind-class,border,warning,border-red-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"borderColor: 'border-red-200',"
resources\js\Pages\Error.tsx,86,css-property,color,critical, color: 'text-gray-600',CSS color property uses hard-coded color instead of glass theme,"color: 'text-gray-600',"
resources\js\Pages\Error.tsx,88,css-property,color,critical, borderColor: 'border-gray-200',CSS color property uses hard-coded color instead of glass theme,"borderColor: 'border-gray-200',"
resources\js\Pages\Error.tsx,114,tailwind-class,text,warning,text-center,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className={`${statusInfo.bgColor} ${statusInfo.borderColor} border rounded-lg p-6 text-center`}>"
resources\js\Pages\Error.tsx,119,tailwind-class,text,warning,text-xl,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<h1 className=""mt-4 text-xl font-semibold text-gray-900"">"
resources\js\Pages\Error.tsx,123,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""mt-2 text-sm text-gray-600"">"
resources\js\Pages\Error.tsx,128,tailwind-class,background,warning,bg-yellow-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""mt-4 p-3 bg-yellow-100 rounded-md"">"
resources\js\Pages\Error.tsx,129,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-sm text-yellow-800"">"
resources\js\Pages\Error.tsx,129,tailwind-class,text,warning,text-yellow-800,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-sm text-yellow-800"">"
resources\js\Pages\Error.tsx,136,tailwind-class,text,warning,text-left,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className=""mt-4 text-left"">"
resources\js\Pages\Error.tsx,137,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<h3 className=""text-sm font-medium text-gray-900 mb-2"">Validation Errors:</h3>"
resources\js\Pages\Error.tsx,138,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<ul className=""text-sm text-red-600 space-y-1"">"
resources\js\Pages\Error.tsx,138,tailwind-class,text,warning,text-red-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<ul className=""text-sm text-red-600 space-y-1"">"
resources\js\Pages\Error.tsx,152,tailwind-class,background,warning,bg-blue-600,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,152,tailwind-class,background,warning,bg-blue-700,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,152,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-transparent text-sm font-medium rounded-md text-white bg-blue-600 hover:bg-blue-700 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,161,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,161,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,161,tailwind-class,border,warning,border-gray-300,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,169,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,169,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Pages\Error.tsx,169,tailwind-class,border,warning,border-gray-300,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"className=""w-full flex justify-center items-center px-4 py-2 border border-gray-300 text-sm font-medium rounded-md text-gray-700 bg-white hover:bg-gray-50 focus:outline-none focus:ring-2 focus:ring-offset-2 focus:ring-blue-500"""
resources\js\Layouts\MainLayout.tsx,77,tailwind-class,background,warning,bg-gray-900,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"theme === 'dark' ? 'bg-black/60 backdrop-blur-sm' : 'bg-gray-900/30 backdrop-blur-sm'"
resources\js\Layouts\MainLayout.tsx,102,tailwind-class,border,warning,border-b,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"""flex items-center px-6 py-5 rounded-t-2xl border-b backdrop-blur-xl"","
resources\js\Layouts\MainLayout.tsx,128,tailwind-class,background,warning,bg-gray-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'text-gray-600 hover:bg-gray-100 hover:text-gray-900'"
resources\js\Layouts\MainLayout.tsx,142,tailwind-class,background,warning,bg-gray-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'text-gray-600 hover:bg-gray-100 hover:text-gray-900'"
resources\js\Layouts\MainLayout.tsx,156,tailwind-class,background,warning,bg-gray-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'text-gray-600 hover:bg-gray-100'"
resources\js\Layouts\MainLayout.tsx,175,tailwind-class,border,warning,border-t,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"""flex-shrink-0 p-4 border-t mt-auto"", // Added flex-shrink-0 and mt-auto"
resources\js\Layouts\MainLayout.tsx,195,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-sm font-medium text-white"">"
resources\js\Layouts\MainLayout.tsx,215,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"""flex items-center w-full px-4 py-3 text-sm font-medium rounded-xl transition-all duration-200 mb-2"","
resources\js\Layouts\MainLayout.tsx,219,tailwind-class,background,warning,bg-blue-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,219,tailwind-class,background,warning,bg-blue-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,219,tailwind-class,text,warning,text-blue-700,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,219,tailwind-class,border,warning,border-blue-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,259,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"""flex items-center w-full px-4 py-3 text-sm font-medium rounded-xl transition-all duration-200"","
resources\js\Layouts\MainLayout.tsx,263,tailwind-class,background,warning,bg-red-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,263,tailwind-class,background,warning,bg-red-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,263,tailwind-class,text,warning,text-red-700,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,263,tailwind-class,border,warning,border-red-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200 shadow-sm'"
resources\js\Layouts\MainLayout.tsx,284,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs font-medium text-white"">"
resources\js\Layouts\MainLayout.tsx,303,tailwind-class,background,warning,bg-blue-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200'"
resources\js\Layouts\MainLayout.tsx,303,tailwind-class,background,warning,bg-blue-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200'"
resources\js\Layouts\MainLayout.tsx,303,tailwind-class,text,warning,text-blue-700,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200'"
resources\js\Layouts\MainLayout.tsx,303,tailwind-class,border,warning,border-blue-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,": 'bg-blue-50 text-blue-700 hover:bg-blue-100 border border-blue-200'"
resources\js\Layouts\MainLayout.tsx,347,tailwind-class,background,warning,bg-red-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200'"
resources\js\Layouts\MainLayout.tsx,347,tailwind-class,background,warning,bg-red-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200'"
resources\js\Layouts\MainLayout.tsx,347,tailwind-class,text,warning,text-red-700,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200'"
resources\js\Layouts\MainLayout.tsx,347,tailwind-class,border,warning,border-red-200,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,": 'bg-red-50 text-red-700 hover:bg-red-100 border border-red-200'"
resources\js\Layouts\MainLayout.tsx,363,tailwind-class,border,warning,border-b,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"""md:hidden px-4 py-3 border-b"","
resources\js\Layouts\MainLayout.tsx,380,tailwind-class,background,warning,bg-gray-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,": 'text-gray-600 hover:bg-gray-100'"
resources\js\Layouts\MainLayout.tsx,395,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"theme === 'light' && '[&_.card]:bg-white [&_.card]:shadow-sm [&_.card]:border-gray-200'"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,16,tailwind-class,background,warning,bg-gray-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-8 bg-gray-100"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,17,tailwind-class,text,warning,text-2xl,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<h1 className=""text-2xl font-bold mb-6"">Episode Card with MAC Validation</h1>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,21,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""bg-white rounded-xl shadow-lg border border-gray-200 overflow-hidden"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,31,tailwind-class,text,warning,text-lg,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<h3 className=""font-semibold text-lg"">Patient #12345</h3>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,32,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-sm text-gray-600"">MediTech Solutions</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,35,tailwind-class,background,warning,bg-green-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""flex items-center space-x-2 px-3 py-1.5 rounded-full bg-green-100 text-green-600"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,35,tailwind-class,text,warning,text-green-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className=""flex items-center space-x-2 px-3 py-1.5 rounded-full bg-green-100 text-green-600"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,36,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-sm font-medium"">Active</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,43,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs text-gray-600"">Orders</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,44,tailwind-class,text,warning,text-lg,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-lg font-semibold"">4</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,47,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs text-gray-600"">Value</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,48,tailwind-class,text,warning,text-lg,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-lg font-semibold"">$5,000</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,51,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs text-gray-600"">Days Active</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,52,tailwind-class,text,warning,text-lg,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-lg font-semibold"">7</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,57,tailwind-class,background,warning,bg-blue-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""mt-3 p-2 rounded-lg bg-blue-50 flex items-center justify-between"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,59,tailwind-class,text,warning,text-blue-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<svg className=""w-4 h-4 text-blue-600"" fill=""none"" viewBox=""0 0 24 24"" stroke=""currentColor"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,62,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs font-medium text-gray-700"">MAC Validation Status</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,64,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs text-gray-600"">Click to expand for details</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,69,tailwind-class,border,warning,border-t,Tailwind border class should use glass- prefix or be defined in glass-theme.ts,"<div className=""border-t border-gray-200"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,75,tailwind-class,text,warning,text-blue-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<svg className=""w-5 h-5 text-blue-600"" fill=""none"" viewBox=""0 0 24 24"" stroke=""currentColor"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,80,tailwind-class,background,warning,bg-yellow-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""px-3 py-1 rounded-full text-sm font-semibold bg-yellow-100 text-yellow-700"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,80,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className=""px-3 py-1 rounded-full text-sm font-semibold bg-yellow-100 text-yellow-700"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,80,tailwind-class,text,warning,text-yellow-700,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className=""px-3 py-1 rounded-full text-sm font-semibold bg-yellow-100 text-yellow-700"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,87,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-3 rounded-lg bg-white"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,89,tailwind-class,text,warning,text-yellow-500,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<svg className=""w-4 h-4 text-yellow-500"" fill=""none"" viewBox=""0 0 24 24"" stroke=""currentColor"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,92,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs font-medium text-gray-600"">Coverage Status</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,94,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-sm font-semibold"">Conditional</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,96,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-3 rounded-lg bg-white"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,98,tailwind-class,text,warning,text-green-500,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<svg className=""w-4 h-4 text-green-500"" fill=""none"" viewBox=""0 0 24 24"" stroke=""currentColor"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,101,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""text-xs font-medium text-gray-600"">Approval Confidence</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,103,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-sm font-semibold"">55%</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,109,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-xs text-gray-600"">MAC Contractor</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,110,tailwind-class,text,warning,text-sm,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-sm font-medium"">Novitas Solutions (JL)</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,114,tailwind-class,background,warning,bg-yellow-50,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-3 rounded-lg bg-yellow-50 mb-3"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,115,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-xs font-medium mb-2 text-yellow-700"">LCD Compliance Issues</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,115,tailwind-class,text,warning,text-yellow-700,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-xs font-medium mb-2 text-yellow-700"">LCD Compliance Issues</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,116,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-xs text-gray-700"">• Prior auth not verified</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,117,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-xs text-gray-700"">• Failed conservative treatment documentation needed</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,122,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-xs font-medium mb-2 text-gray-600"">Top Risk Factors</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,124,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-2 rounded bg-white text-xs"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,124,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-2 rounded bg-white text-xs"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,127,tailwind-class,background,warning,bg-red-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<span className=""px-2 py-0.5 rounded bg-red-100 text-red-600"">high</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,127,tailwind-class,text,warning,text-red-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""px-2 py-0.5 rounded bg-red-100 text-red-600"">high</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,131,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-2 rounded bg-white text-xs"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,131,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-2 rounded bg-white text-xs"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,134,tailwind-class,background,warning,bg-yellow-100,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<span className=""px-2 py-0.5 rounded bg-yellow-100 text-yellow-600"">medium</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,134,tailwind-class,text,warning,text-yellow-600,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<span className=""px-2 py-0.5 rounded bg-yellow-100 text-yellow-600"">medium</span>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,141,tailwind-class,background,warning,bg-white,Tailwind background class should use glass- prefix or be defined in glass-theme.ts,"<div className=""p-3 rounded-lg bg-white"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,144,tailwind-class,text,warning,text-xs,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-xs text-gray-600"">Potential Denial</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,145,tailwind-class,text,warning,text-lg,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-lg font-semibold text-red-500"">$2,250</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,145,tailwind-class,text,warning,text-red-500,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-lg font-semibold text-red-500"">$2,250</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,147,tailwind-class,text,warning,text-right,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<div className=""text-right"">"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,149,tailwind-class,text,warning,text-lg,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-lg font-semibold text-green-500"">$2,750</p>"
resources\js\Examples\EpisodeCardWithMacValidation.tsx,149,tailwind-class,text,warning,text-green-500,Tailwind text class should use glass- prefix or be defined in glass-theme.ts,"<p className=""text-lg font-semibold text-green-500"">$2,750</p>"
